Name,Count
Amina,969
Tessa,960
Kayla,951
Esme,944
Mckenna,940
Nicole,940
Regina,937
Luciana,933
Julianna,930
Nayeli,929
Catherine,928
Alyssa,927
Journey,923
Dream,920
Camilla,918
Ariyah,917
Nina,917
Joanna,915
Mya,911
Annabelle,905
Esmeralda,904
Lauren,898
Fatima,893
Giselle,887
Harley,885
Jocelyn,885
Phoenix,866
Trinity,866
Malani,865
Heidi,864
Meadow,864
Raya,862
Paige,860
Jayla,857
Logan,856
Leighton,850
Charlee,848
Viviana,844
Madilyn,842
Raven,841
Amora,840
Navy,840
Itzel,839
Laura,837
Emory,834
Azalea,833
Hayden,831
Aniyah,826
Winter,826
Aurelia,825
Alivia,822
Brooklynn,821
Francesca,820
Serena,817
Lilliana,813
Gracelynn,812
Kalani,810
Aisha,809
Gwendolyn,808
Elaine,806
Nylah,804
Hattie,801
Wynter,801
Adelynn,796
Adelina,790
Alessandra,788
Mylah,788
Alayah,787
Anaya,784
Julieta,783
Rosie,779
Mariah,777
Demi,776
Raelyn,771
Sabrina,770
Helen,768
Everlee,765
Astrid,764
Fiona,764
Michelle,763
Xiomara,761
Briella,758
Alexandria,755
Frances,755
Sunny,749
Sarai,748
Alaya,744
Melissa,742
Veronica,741
Mira,740
Zariah,740
Brynn,739
Reign,739
Maryam,738
Lana,734
Arielle,729
Raegan,729
Remington,729
Salem,729
Elisa,728
Aylin,726
Emely,726
Carolina,725
Sylvie,725
Sylvia,722
Annalise,719
Willa,717
Mallory,713
Kira,712
Daniella,711
Elora,710
Saige,710
Carmen,709
Charli,708
Mckenzie,707
Matilda,706
Miracle,706
Destiny,704
Alicia,699
Elle,696
Colette,695
Anya,694
Madeleine,688
Oaklee,685
Skye,683
Cali,682
Daleyza,682
Alexis,681
Holly,681
Katalina,681
Miley,681
Alanna,676
Felicity,676
Joy,676
Helena,675
Makayla,675
Amirah,669
Maia,669
Armani,668
Alma,663
Anahi,661
Ari,660
Bianca,659
Scarlet,659
Amiyah,658
Dorothy,658
Stephanie,654
Fernanda,653
Briana,652
Alison,651
Lorelai,650
Renata,650
Macie,648
Makenna,648
Imani,645
Jimena,639
Kate,639
Liana,638
Cameron,637
Lyra,636
Maddison,634
Izabella,630
Amanda,629
Lorelei,628
Dayana,627
Gracelyn,626
Opal,624
Nadia,622
Brinley,620
Madelynn,620
Calliope,618
Paris,618
Camryn,617
Danielle,617
Cassidy,616
Cecelia,614
Haisley,614
Jordan,613
Faye,610
